text,type,count-occurences-total,count-documents
Berlin/Boston 2021,ORG,1,1
FoMO,LANGUAGE,1,1
7,CARDINAL,6,6
Library and Information Science (LIS,ORG,1,1
Goffman,PERSON,3,1
1918,DATE,1,1
Donald J. Trump,PERSON,3,3
Covid,NORP,1,1
Brexit,GPE,17,15
Laura Lazar et al.,PERSON,1,1
Royal Statistical Society,ORG,1,1
Experiment 2,PERSON,1,1
Applied Cognitive Psychology,ORG,1,1
John Wiley & Sons Ltd.,ORG,3,3
South,LOC,2,2
Singaporean,NORP,3,2
"240,000",CARDINAL,1,1
26.99%,PERCENT,1,1
2015,DATE,21,18
the Asia-Pacific,LOC,1,1
The Authors,ORG,2,2
the Association for Information Science and Technology,ORG,1,1
Association for Information Science and Technology,ORG,5,5
2017,DATE,40,37
"38,346,765",CARDINAL,1,1
"2,163,812",CARDINAL,1,1
"November 25, 2016",DATE,1,1
"May 12, 2017",DATE,1,1
"13,044,619",CARDINAL,1,1
the past decade,DATE,3,3
Santos,GPE,1,1
Santaella,PERSON,1,1
Informatics in Education,WORK_OF_ART,1,1
Uerj,GPE,2,1
Editora Universitaria da PUCRS,PERSON,1,1
Big Data,ORG,5,5
Robotics and Blockchain,ORG,1,1
South Korea,GPE,4,4
2014,CARDINAL,5,5
AMDN-HAGE,PERSON,1,1
Temporal Point Processes,ORG,1,1
TPP,ORG,4,2
Gaussian Mixture Model,PERSON,1,1
GMM,ORG,1,1
Internet Research Agency,ORG,1,1
Owner/Author,ORG,10,10
MetaFEND,CARDINAL,2,1
Twitter,GPE,8,7
Recent years,DATE,7,7
India,GPE,34,17
DESIDOC,ORG,3,3
Fake News,WORK_OF_ART,3,1
Clarivate Analytics,ORG,1,1
Professional De La Informacion,WORK_OF_ART,1,1
New Media Society,ORG,1,1
Computer Science,WORK_OF_ART,1,1
Communication,WORK_OF_ART,1,1
Information Science and Library Science,WORK_OF_ART,1,1
Government Law,WORK_OF_ART,1,1
Arizona State University,ORG,4,3
Pennycook G,WORK_OF_ART,1,1
Six hundred,CARDINAL,1,1
The National Science Foundation N.S.F.,ORG,1,1
U.S.A.,GPE,1,1
89,CARDINAL,1,1
84%,PERCENT,1,1
YouTube,FAC,3,3
cyber,PERSON,1,1
the year 2020,DATE,3,2
Managing Pandemics with Health Informatics - Successes and Challenges,WORK_OF_ART,1,1
PubMed,LOC,4,4
147,CARDINAL,2,2
15,CARDINAL,4,4
77.04%,PERCENT,1,1
Thieme,ORG,2,1
the Creative Commons Attribution-NonDerivative-NonCommercial License,ORG,1,1
George Washington,PERSON,1,1
Washington,GPE,3,1
1776,DATE,1,1
Britain,GPE,4,3
Eric Shiraev,PERSON,1,1
Bi-Directional Graph Convolutional Networks,ORG,1,1
Dynamic GCN,PERSON,1,1
Choi et al,PERSON,1,1
Ransomware,PERSON,1,1
Discrete Fourier Transform,ORG,2,2
40,DATE,1,1
588,CARDINAL,1,1
400,CARDINAL,1,1
Convolutional Neural Networks,ORG,5,5
Support Vector Machines,ORG,2,2
0.9968,CARDINAL,1,1
0.8415,CARDINAL,1,1
0.9953,CARDINAL,1,1
0.7955,CARDINAL,1,1
PKL,ORG,1,1
CSV,ORG,1,1
1397,DATE,1,1
24%,PERCENT,4,4
Saling et al,PERSON,1,1
Lifestyle,PERSON,1,1
GloVe,PERSON,4,3
GRU,ORG,4,4
BI-GRU,ORG,3,2
808,CARDINAL,1,1
85.7%,PERCENT,1,1
almost two thirds,CARDINAL,2,2
63.5%,PERCENT,1,1
71.5%,PERCENT,1,1
60%,PERCENT,3,3
1st January 2020 to 3rd February 2021,DATE,1,1
TVP-VAR,ORG,1,1
feverish,PRODUCT,1,1
us,GPE,3,3
Indonesian,NORP,12,7
Macao,GPE,1,1
SAR,ORG,2,1
Hong Kong,GPE,7,7
Taiwan,GPE,2,2
February,DATE,2,2
March 2020,DATE,6,6
Chi,GPE,1,1
491,CARDINAL,1,1
92.1%,PERCENT,1,1
One-third,CARDINAL,1,1
57.8%,PERCENT,1,1
The Royal Society for Public Health,ORG,1,1
Taxonomy,PERSON,1,1
Springer Nature Switzerland AG,ORG,56,56
Malaysia,GPE,19,12
Thailand,GPE,2,1
Southeast Asia,LOC,1,1
"more than 2,700",CARDINAL,1,1
Sebenarnya.my,ORG,1,1
Anti-Fake News Center,ORG,1,1
"over 2,300",CARDINAL,1,1
American,NORP,26,21
"more than 500,000",CARDINAL,1,1
Cambridge University Press,ORG,8,8
Cross-SEAN,ORG,1,1
Cross,ORG,4,2
0.95 F1,MONEY,1,1
CTF,ORG,1,1
9%,PERCENT,3,3
Facebook and Twitter,ORG,4,4
WELFake,PERSON,1,1
WELFake,ORG,1,1
approximately 72 000 articles,QUANTITY,1,1
WELFake,PRODUCT,1,1
96.73%,PERCENT,1,1
1.31%,PERCENT,1,1
4.25%,PERCENT,1,1
up to 1.73%,PERCENT,1,1
Social Networks,ORG,2,2
SN,ORG,1,1
i.e Facebook,PERSON,1,1
LinkedIn,ORG,1,1
last two decades,DATE,1,1
Big Data 6 V,ORG,1,1
1914,DATE,1,1
Portuguese,NORP,10,8
Fernando Pessoa,PERSON,1,1
Alberto Caeiro,PERSON,1,1
Álvaro de Campos,PERSON,1,1
Ricardo Reis,PERSON,1,1
lexicon,GPE,1,1
approximately 5%,PERCENT,1,1
more than 50%,PERCENT,2,2
"John Wiley & Sons, Ltd.",ORG,2,2
Hierarchical Graph Attention Network,ORG,1,1
HIN,ORG,4,2
Online Social Media,ORG,3,3
Graph Convolutional Network,ORG,1,1
Graph Neural Network,ORG,1,1
RF,ORG,3,3
0.864,CARDINAL,1,1
0.720,CARDINAL,1,1
AUC-ROC,ORG,1,1
225,CARDINAL,1,1
Rey Juan Carlos University,ORG,1,1
"1,973",CARDINAL,1,1
WoS,GPE,1,1
Scopus,ORG,5,5
between 2014 and 2019,DATE,1,1
ETS,ORG,1,1
the year,DATE,3,3
Anglo-Saxon,ORG,2,2
224,CARDINAL,2,2
University of California Press,ORG,1,1
https://github.com/safe-graph/GNN-FakeNews,CARDINAL,1,1
4chan,CARDINAL,2,1
Google Web Search,PERSON,1,1
Google Web,PERSON,1,1
Rogers,PERSON,1,1
the Library and Information Science (LIS,ORG,1,1
SCOPUS,ORG,1,1
2017 to,DATE,1,1
as many as 52,CARDINAL,1,1
628,CARDINAL,1,1
Proof of Work,LOC,1,1
10%,PERCENT,2,2
Engg Journals Publications,ORG,1,1
IEEE Computer Society,ORG,1,1
75 years,DATE,1,1
Auschwitz,PERSON,2,1
AfD,ORG,1,1
Alternative for Germany] publicly question the significance of the Holocaust,WORK_OF_ART,1,1
around 33%,PERCENT,1,1
European,NORP,29,24
Jews,NORP,1,1
World War II,EVENT,2,2
Peter Weiss,PERSON,1,1
Die Ermittlung: Oratorium,WORK_OF_ART,1,1
11,CARDINAL,5,4
Gesängen,ORG,1,1
Investigation,PRODUCT,1,1
1965,DATE,1,1
Holocaust,EVENT,2,2
Elie Wiesel,PERSON,1,1
Oliver Keune,PERSON,1,1
Bosnia and,GPE,1,1
Herzegovina,GPE,1,1
"University of Zagreb, Faculty of Political Sciences",ORG,3,3
8 March,DATE,1,1
M8,WORK_OF_ART,1,1
Blanquerna School of Communication and International Relations,ORG,2,2
Autopsy,PRODUCT,2,1
Celeb,ORG,1,1
590,CARDINAL,1,1
99.53%,PERCENT,1,1
79.55%,PERCENT,1,1
89.10%,PERCENT,1,1
DFT-SVM,ORG,1,1
Netherlands,GPE,5,5
Sweden,GPE,7,3
the Systematizing Confidence in Open Research and Evidence,ORG,1,1
Pennycook et al,PERSON,1,1
701,CARDINAL,1,1
882,CARDINAL,2,2
"1,583",CARDINAL,1,1
.017,CARDINAL,1,1
0.14,CARDINAL,2,2
0.10,CARDINAL,1,1
The Authors,WORK_OF_ART,13,13
John Wiley ,PERSON,1,1
& Sons Ltd.,ORG,1,1
European Federation for Medical Informatics,ORG,8,4
EFMI,ORG,8,4
our days,DATE,1,1
414,CARDINAL,1,1
42,CARDINAL,2,2
UNESCO,ORG,3,3
European Commission,ORG,1,1
EU,ORG,11,9
about 40%,PERCENT,1,1
85%,PERCENT,1,1
MATLAB,PERSON,1,1
Transformers,ORG,8,8
SHAP,ORG,1,1
984,CARDINAL,2,2
0.972,CARDINAL,1,1
0.993,CARDINAL,1,1
0.938,CARDINAL,1,1
0.985,CARDINAL,1,1
SHAP,PRODUCT,1,1
TSESE,NORP,2,1
TSE,ORG,1,1
PMapping,PERSON,1,1
2001-2011,DATE,1,1
early January 2020,DATE,2,2
Wuhan,GPE,6,6
Yahoo,ORG,2,2
Rapisarda,PERSON,1,1
Giuffrida,PERSON,1,1
Believers,ORG,6,1
58%,PERCENT,3,3
Disbelievers,PERSON,1,1
0.942,CARDINAL,1,1
AUC,ORG,5,5
ROC,GPE,4,4
0.976,CARDINAL,1,1
©,PERSON,17,17
Scopus,GPE,2,2
the Web of Science,PERSON,2,2
43,CARDINAL,3,3
Universitat de Barcelona,PERSON,3,3
Today,DATE,15,15
14 to 28 December,DATE,1,1
NodeXL,ORG,11,4
Spanish,LANGUAGE,10,9
31.05%,PERCENT,1,1
79.87%,PERCENT,1,1
8.1%,PERCENT,1,1
the COVID-19 negationist movement,ORG,1,1
vaccine hoaxes,PERSON,1,1
Artificial Intelligence (AI,ORG,6,6
Slovenska,GPE,1,1
Vzdelavacia Obstaravacia,PERSON,1,1
AFC,ORG,1,1
Al Jazeera,ORG,3,2
Portugal,GPE,27,27
161,CARDINAL,1,1
xenophobic,NORP,2,2
Islamophobic,NORP,5,3
the International Fact-Checking Network,EVENT,1,1
Maldita.es,PERSON,4,4
Efe Verifica,PERSON,1,1
Verificat,PERSON,1,1
99.23%,PERCENT,1,1
99.46%,PERCENT,1,1
98.86%,PERCENT,1,1
F-Score,PERSON,1,1
99.15%,PERCENT,1,1
© 2021 Institute of Advanced Engineering and Science,ORG,1,1
GA,ORG,1,1
SSA,ORG,1,1
Koirala,GPE,1,1
75.4%,PERCENT,1,1
avian,NORP,1,1
Society for Conservation Biology,ORG,1,1
Finnish,NORP,3,2
Finnish,LANGUAGE,2,1
two-fold,CARDINAL,2,2
discourse,GPE,2,2
the first year,DATE,4,4
Shifman,GPE,1,1
more than 1,CARDINAL,1,1
f1,PRODUCT,3,2
0.8076,CARDINAL,1,1
4%,PERCENT,2,2
Background Proliferation,ORG,1,1
26,CARDINAL,2,2
Web,PERSON,8,7
Science,PERSON,1,1
Bryanov,PERSON,1,1
Vziatysheva,GPE,1,1
digital news literacy and psychological,ORG,1,1
408,CARDINAL,1,1
Generation Z,ORG,2,2
18 to 22,DATE,1,1
January 2020,DATE,3,3
Social Media Disinformation Scale,ORG,1,1
874,CARDINAL,1,1
28.39 years,DATE,1,1
32.84 years,DATE,1,1
Fear Scale,PERSON,1,1
Perceived Stress Scale,FAC,1,1
up to 73.72%,PERCENT,1,1
0.73,CARDINAL,1,1
0.85,CARDINAL,1,1
0.70,CARDINAL,1,1
0.78,CARDINAL,2,2
Noomen Guelmami,PERSON,1,1
Maher Ben Khalifa,PERSON,1,1
Nasr Chalghaf,PERSON,1,1
Jude Dzevela Kong,PERSON,1,1
Tannoubi Amayra,PERSON,1,1
Jianhong Wu,PERSON,1,1
Fairouz Azaiez,PERSON,1,1
Nicola Luigi Bragazzi,ORG,1,1
Introduction Misinformation,ORG,1,1
COVID-19 myths,DATE,4,1
"between March 27 and April 23, 2020",DATE,1,1
56.1%,PERCENT,2,2
43.9%,PERCENT,1,1
37.9%,PERCENT,1,1
63.0%,PERCENT,1,1
older than 30,DATE,1,1
7%,PERCENT,1,1
social media,ORG,2,1
95%CI:(1.05-1.52,DATE,1,1
95%CI:(1.25-1.82,CARDINAL,2,1
95%CI:(0.25,CARDINAL,2,1
95%CI:(0.65,CARDINAL,1,1
Melki et al,FAC,1,1
Republicans,NORP,9,4
Democrats,NORP,7,3
pro-Democratic,NORP,1,1
pro-Republican,NORP,2,1
Republican,NORP,5,5
Italian,NORP,31,17
the Communications Regulatory Authority,ORG,1,1
AGCOM,ORG,1,1
Swiss Political Science Review,ORG,1,1
John Wiley & Sons Ltd,ORG,6,6
Swiss Political Science Association,ORG,1,1
Slovakia,GPE,1,1
Slovak,NORP,4,2
2600,DATE,1,1
Twitter,WORK_OF_ART,12,11
Greece,GPE,3,2
Google Forms,ORG,2,2
Greek,NORP,3,2
almost 3.000,CARDINAL,1,1
Spring 2020,DATE,1,1
776,CARDINAL,1,1
"Ministry of Health, Civil Protection",ORG,1,1
the Ministry of Health,ORG,3,3
the Civil Protection,ORG,1,1
398,CARDINAL,1,1
Society for Applied Research,ORG,3,3
1906,DATE,1,1
Cognition Security,ORG,1,1
CogSec,PRODUCT,3,1
CogSec,PERSON,1,1
Higher Education Press,ORG,1,1
almost 1/4,CARDINAL,1,1
million,CARDINAL,3,3
four million,CARDINAL,1,1
World Health Organization,ORG,1,1
"May 3, 2020c",DATE,1,1
1225,DATE,1,1
J.M. © 2020,ORG,1,1
Health Libraries Group,ORG,2,2
World Wide Web,WORK_OF_ART,2,2
Bepress,ORG,3,3
NAMLE,ORG,3,3
corpora,GPE,1,1
Natural Language Processing,LAW,1,1
these days,DATE,4,4
ICT,ORG,5,5
North Caucasian Institute of Mining and Metallurgy,ORG,1,1
State Technological University,ORG,1,1
March,DATE,2,2
May 2020,DATE,2,2
secondary,ORDINAL,2,2
Puig,PERSON,1,1
Blanco-Anaya,ORG,1,1
Pérez-Maceira,ORG,1,1
the European Union,ORG,11,8
the Joint Declaration on Freedom of Expression,LAW,1,1
Propaganda,PERSON,1,1
the Code of Practice on Disinformation,WORK_OF_ART,2,1
the Code of Practice,LAW,1,1
the Code of Practice,WORK_OF_ART,1,1
Anna Kobernjuk et al.,PERSON,1,1
two-hour,TIME,1,1
Four,CARDINAL,10,8
March 2021,DATE,1,1
over 115 million,CARDINAL,1,1
over 2.5 million,CARDINAL,1,1
up to 66%,PERCENT,1,1
© McKenzie Himelein-Wachowiak,PERSON,1,1
Salvatore Giorgi,ORG,1,1
Amanda Devoto,PERSON,1,1
Muhammad Rahman,PERSON,1,1
Lyle Ungar,PERSON,1,1
H Andrew Schwartz,PERSON,1,1
David H Epstein,PERSON,1,1
Lorenzo Leggio,PERSON,1,1
Brenda Curtis,PERSON,1,1
twelve days,DATE,1,1
Pingree et al,PERSON,1,1
hundreds of thousands,CARDINAL,2,2
353,CARDINAL,1,1
many hours,TIME,1,1
a typical week,DATE,1,1
fewer hours,TIME,1,1
January 2018,DATE,1,1
November 2019,DATE,3,2
1 January 2018 to 25,DATE,1,1
the National Disaster Management Agency,ORG,1,1
the Disaster Channel,ORG,1,1
Fakey,ORG,4,1
19 months,DATE,1,1
Neil Levy,PERSON,1,1
Robert M. Ross,PERSON,1,1
the beginning of the 21st century,DATE,1,1
the new millennium,DATE,1,1
two decades,DATE,1,1
Colombiacheck,ORG,1,1
La Silla Vacía,PERSON,1,1
AFP Colombia,ORG,1,1
"November 21st, 2019",DATE,1,1
90,CARDINAL,1,1
La Silla,PERSON,1,1
AFP,ORG,1,1
our day to day,DATE,1,1
950,CARDINAL,1,1
Chinese,LANGUAGE,2,2
years,DATE,3,3
National Academy of Sciences,ORG,7,7
Bahia,PERSON,1,1
Eusébio Dias Lassos de Lima,PERSON,1,1
the year 1713,DATE,1,1
Orizes-Procazes,ORG,1,1
indians,NORP,1,1
Torre,PERSON,1,1
Lisbon,GPE,22,22
the year 1716,DATE,1,1
Universidade de Sao Paulo,ORG,1,1
Faculdade de Filosofia,ORG,1,1
Letras e Ciencias Humanas,ORG,1,1
Toulmin,PERSON,1,1
the Toulmin Argument Pattern,ORG,1,1
Qualifiers,ORG,1,1
95.32%,PERCENT,1,1
Karande et al,GPE,1,1
Coronavirus SARS-CoV-2,ORG,1,1
just 10 weeks,DATE,1,1
FNM,ORG,5,1
More than 300,CARDINAL,1,1
Murayama et al,PERSON,1,1
Arab,NORP,4,4
Harris Hawks Optimizer,PERSON,1,1
1862,DATE,1,1
BHHO,ORG,1,1
"51,170",CARDINAL,1,1
"January 1, 2020",DATE,2,2
"October 27, 2020",DATE,1,1
Pearson,ORG,1,1
almost 65%,PERCENT,1,1
9 days,DATE,1,1
2021Mohammad,CARDINAL,1,1
Ahmed Elnoshokaty,PERSON,1,1
Omar El-Gayar,PERSON,1,1
Tareq Nasralah,PERSON,1,1
Abdullah Wahbeh,PERSON,1,1
The past decade,DATE,1,1
45th,ORDINAL,3,3
Mueller,PERSON,1,1
Barack Obama,LOC,1,1
Minot et al,PERSON,1,1
digital platforms,ORG,1,1
Sentiment Analysis,ORG,1,1
Sentiment Analysis,WORK_OF_ART,1,1
25,CARDINAL,8,8
60,CARDINAL,5,5
K,ORG,3,2
C}_i,PRODUCT,1,1
C}_j,GPE,1,1
optimal,GPE,4,3
Yarovaya,GPE,1,1
Russian,NORP,35,21
State,ORG,7,7
2020 E. Moyakine,PERSON,1,1
A. Tabachnik,ORG,1,1
Bad News,ORG,8,3
"2,159",CARDINAL,1,1
Solomon,WORK_OF_ART,1,1
The Routledge Companion to Media Disinformation and Populism,LAW,1,1
Howard Tumber,PERSON,1,1
Silvio Waisbord,PERSON,1,1
SEIR,ORG,1,1
"March 24 to April 5, 2020",DATE,1,1
Ukrainians,NORP,1,1
364,CARDINAL,1,1
18 to 29,CARDINAL,1,1
Ukraine,GPE,15,8
more than 70%,PERCENT,1,1
46%,PERCENT,3,3
1D,CARDINAL,2,2
C. imperialis,PERSON,2,1
American Association for the Advancement of Science,ORG,2,2
U.S. Government Works,ORG,1,1
a Creative Commons Attribution NonCommercial License 4.0,LAW,1,1
Serpa,PERSON,1,1
between February and March 2019,DATE,1,1
1004,DATE,1,1
to|,CARDINAL,1,1
"Facebook, Twitter",ORG,3,3
Multi-Layer,ORG,1,1
FNs,ORG,1,1
95.47%,PERCENT,1,1
American Institute of Physics Inc,ORG,1,1
IET Information Security,ORG,1,1
The Institution of Engineering and Technology,ORG,1,1
the first months,DATE,2,2
Europe,LOC,23,21
Open,PERSON,1,1
the end of January,DATE,1,1
the end of May 2020,DATE,1,1
these five months,DATE,1,1
University of Piura,ORG,5,5
Five,CARDINAL,7,7
530,CARDINAL,1,1
396,CARDINAL,1,1
Urdu,ORG,1,1
Akhter et al,PERSON,1,1
EQ,ORG,2,1
the last century,DATE,1,1
Franca D'Agostini,PERSON,1,1
De Gruyter Saur,PERSON,1,1
over 92,CARDINAL,1,1
between January,DATE,1,1
mid-July 2020,DATE,1,1
1500,CARDINAL,1,1
1274,CARDINAL,1,1
226,CARDINAL,2,2
Riots,ORG,1,1
the Johns Hopkins Coronavirus Resource Center,ORG,1,1
over 81 million,CARDINAL,1,1
CoVerifi,PRODUCT,3,1
COVID-19-related,PRODUCT,2,2
Bidirectional Encoder Representations,ORG,4,4
Convolutional Neural Network,ORG,4,4
FakeBERT,PRODUCT,1,1
98.90%,PERCENT,1,1
the last three years,DATE,1,1
© 2020,ORG,5,5
LIAR,ORG,3,3
7.8%,PERCENT,1,1
3.1%,PERCENT,2,2
1%,PERCENT,2,2
UAV,ORG,1,1
between 87 and 90%,DATE,1,1
at least two,CARDINAL,3,3
propaganda,GPE,3,3
Decision Making Philosophy > Knowledge,WORK_OF_ART,1,1
Cognitive Science,ORG,1,1
Indic-Languages,ORG,2,1
Hindi,PERSON,2,1
Bengali,NORP,5,1
Indic,ORG,1,1
mBERT,ORG,1,1
Hindi,GPE,6,3
zero,CARDINAL,4,3
around 89%,PERCENT,1,1
about 79%,PERCENT,1,1
81%,PERCENT,1,1
about 81%,PERCENT,1,1
78%,PERCENT,3,3
"February 27, 2021",DATE,1,1
938,CARDINAL,1,1
the Descending Hierarchical Classification,GPE,1,1
Hermeneutics,GPE,1,1
n=625,ORG,1,1
66.6%,PERCENT,1,1
56.6%,PERCENT,1,1
14.8%,PERCENT,1,1
Centro Universitario Sao Camilo,ORG,1,1
Whatsapp,ORG,6,4
Virtual Health Library,ORG,2,2
VHL,ORG,2,2
649,CARDINAL,1,1
439,CARDINAL,1,1
358,CARDINAL,1,1
268,CARDINAL,1,1
220,CARDINAL,2,2
50.6%,PERCENT,1,1
49.4%,PERCENT,1,1
the opening hours,TIME,1,1
Moreno,PERSON,1,1
Rolim-Neto,PERSON,1,1
University of La Laguna,ORG,17,17
19,CARDINAL,3,3
the beginning of 2020,DATE,1,1
1115,DATE,1,1
"2,683",CARDINAL,1,1
One week later,DATE,1,1
social sciences,ORG,2,2
2016-2019,DATE,1,1
allied mass media,ORG,1,1
CAICYT-CONICET,PRODUCT,1,1
Lying,ORG,1,1
Cognitive Science,PERSON,1,1
Cognitive Science Society,ORG,1,1
"Investigative, News Organization",ORG,1,1
the American Physical Society,ORG,3,2
the Creative Commons Attribution 4.0,ORG,1,1
healthcare,ORG,2,2
Maldita,LOC,1,1
Newtral,LOC,1,1
the Preferred Reporting Items for Systematic Reviews,ORG,1,1
PRISMA,PERSON,1,1
53,CARDINAL,1,1
18,CARDINAL,3,3
Nobel,EVENT,1,1
97 years,DATE,1,1
"123,742",CARDINAL,1,1
van Leeuwen’s,PERSON,1,1
Discourse Legitimation,ORG,1,1
Discourse Analysis,ORG,2,2
120,CARDINAL,1,1
46.6%,PERCENT,1,1
Moralisation,ORG,1,1
27%,PERCENT,2,2
26.4%,PERCENT,1,1
Mythopoesis,ORG,1,1
0%,PERCENT,2,2
Buhari,PERSON,1,1
© 2019 SAGE Publications,ORG,1,1
more than twenty,CARDINAL,1,1
the last 5 years,DATE,2,2
© 2021 Institute of Physics Publishing,ORG,1,1
pseudo-news,ORG,2,2
propaganda,PERSON,2,2
social media's,ORG,1,1
DeHiDe,ORG,2,1
Hybrid Model,PERSON,1,1
Detect Fake News,ORG,1,1
D.J. Boorstin,PERSON,1,1
Ukrainian,NORP,4,3
Ukrainian,GPE,4,4
"Universidad de Zaragoza, Facultad de Filosofia y Letras",PERSON,1,1
The last several years,DATE,1,1
Incoma Ltd.,ORG,4,4
93.42%,PERCENT,1,1
93.22%,PERCENT,1,1
Glenn Anderau,PERSON,1,1
De Gruyter,PERSON,2,2
White Helmets,PERSON,1,1
"April 1st, 2018 to",DATE,1,1
"April 30th, 2019",DATE,1,1
SIS,ORG,1,1
Ph.D.,WORK_OF_ART,2,2
the Rhetorical Structure Theory,FAC,1,1
the Rhetorical Structure Theory,ORG,1,1
Annual Conference,EVENT,1,1
"25, 2021",DATE,1,1
annual,DATE,2,2
62nd,ORDINAL,1,1
Annual NFAIS conference,EVENT,1,1
NISO,ORG,1,1
NFAIS,ORG,1,1
June 2019,DATE,1,1
NISO Plus,ORG,1,1
400%,PERCENT,1,1
Artificial Intelligence/Machine Learning,ORG,1,1
the Creative Commons Attribution-NonCommercial License,ORG,1,1
a fraction of minutes,TIME,1,1
TRP,ORG,1,1
somewhere years ago,DATE,1,1
A few decades,DATE,1,1
the recent era,DATE,1,1
Yemeni,NORP,1,1
Korea,GPE,3,1
Jeju Island,LOC,1,1
Korean,NORP,4,2
MeToo,MONEY,1,1
Naver News,ORG,1,1
Naver Cafes,PERSON,1,1
Muslim,NORP,2,2
Farrah Sheikh,PERSON,1,1
Hispanic,NORP,1,1
Americans,NORP,9,7
Oxford University Press,ORG,3,3
American Association for Public Opinion Research,ORG,1,1
HMBI,ORG,1,1
10.41%,PERCENT,1,1
50%,PERCENT,1,1
FN Stimuli,PERSON,1,1
FN Actions,ORG,2,1
FN Outcomes,ORG,1,1
Taylor & Francis Group,ORG,75,75
2013-2018,DATE,1,1
between 2 and 3,CARDINAL,1,1
monthly,DATE,2,2
Revolution 4.0,LAW,1,1
Escuela Interamericana de Bibliotecologia,PERSON,2,2
the last day of the 2019,DATE,1,1
Digital News Report,ORG,1,1
Editora Mundos,PERSON,1,1
Sociais,GPE,1,1
67%,PERCENT,1,1
38.83,CARDINAL,1,1
15.75,CARDINAL,1,1
Catolica de Chile,ORG,1,1
the past few decades,DATE,2,2
Fake News Detection,ORG,8,7
CONSTRAINT,GPE,2,2
FakeNewsNet,DATE,3,2
0.9892,CARDINAL,1,1
0.9156,CARDINAL,1,1
digital world,ORG,1,1
Gossipcop,PERSON,1,1
Gossipcop,ORG,1,1
84.6%,PERCENT,1,1
85.6%,PERCENT,1,1
the Copenhagen School of International Relations,ORG,1,1
the second half of the twentieth century,DATE,1,1
the beginning of the twenty-first century,DATE,1,1
the XXI century,DATE,3,2
the Federal Council of Nursing,ORG,1,1
Nursing Week 2020,EVENT,1,1
METHOD,PERSON,1,1
Cofen,GPE,1,1
"May 12 to 20, 2020",DATE,1,1
the Descending Hierarchical Classification,ORG,1,1
thirty,CARDINAL,1,1
the Unified Health System,ORG,1,1
SA,ORG,3,3
Adaboost,NORP,1,1
RNN,PRODUCT,5,5
Waqas Haider Bangyal et al,PERSON,1,1
Deep Learning,ORG,3,2
100 000,CARDINAL,1,1
FastText,PRODUCT,1,1
a Logistic Regression,PRODUCT,1,1
Recurrent Convolutional Neural Network,ORG,1,1
Fang Sun,PERSON,1,1
about 6.8 million,CARDINAL,1,1
UnitedStates,ORG,4,2
anti-Democratic,NORP,1,1
anti-Republican,NORP,1,1
more than half,CARDINAL,3,3
about a third,CARDINAL,1,1
Al-Rawi,ORG,1,1
OKeefe,GPE,1,1
Kane,PERSON,1,1
Bizimana,PERSON,1,1
Chisinau,ORG,2,1
Dniester,ORG,2,1
1992,DATE,6,2
the Dniester War,EVENT,1,1
the Republic of Moldova,GPE,6,1
Transnistrian,NORP,1,1
Transnistria,GPE,4,1
Memorandum,LOC,1,1
Moscow,GPE,2,2
Lenta ru,PERSON,1,1
Crimea,ORG,1,1
Moldova,ORG,1,1
Ion Creanga State Pedagogical University,ORG,1,1
Paul Rassinier,PERSON,1,1
Marco Antônio Villa,PERSON,1,1
Hannah Arendt,PERSON,2,2
the Brazilian Civil-Military Dictatorship,ORG,1,1
Universidade Estadual Paulista,ORG,1,1
UNESP,ORG,1,1
DT,PRODUCT,1,1
KNN,ORG,9,8
LR,GPE,1,1
LSTM,ORG,2,2
Bader Alouffi et al,PERSON,1,1
Polish,LANGUAGE,1,1
192,CARDINAL,1,1
Catholic Church,ORG,1,1
Masaryk University,ORG,2,2
the chi-square algorithm,FAC,1,1
Media-Eval,PRODUCT,1,1
f1-score,GPE,3,3
94.6%,PERCENT,1,1
92.3%,PERCENT,1,1
100%,PERCENT,1,1
0.2%,PERCENT,1,1
Transfer Learning,GPE,2,1
Clickbaits,NORP,1,1
XLNet,ORG,2,2
Webis Clickbait,PERSON,1,1
the Webit Clickbait competition 2017,EVENT,1,1
Transfer Learning,ORG,1,1
Transfer Learning,LOC,2,1
19.12%,PERCENT,1,1
Kaggle,PRODUCT,1,1
VH,ORG,2,1
VH,PRODUCT,1,1
AOSIS,CARDINAL,2,2
498,CARDINAL,1,1
SPSS AMOS,GPE,1,1
SOR,ORG,1,1
Emerald Publishing Limited,ORG,13,13
the Brazilian Parliament,ORG,1,1
Brazilian National Congress,ORG,1,1
Licença Creative Commons Atribuição-NãoComercial 4.0,ORG,1,1
a Creative Commons Attribution-NonCommercial 4.0 International License,LAW,1,1
GoB,ORG,4,1
Bangladesh,GPE,4,2
between January and May 2020,DATE,1,1
Bangladeshi,ORG,1,1
between April and June 2020,DATE,1,1
Three hundred and seven,CARDINAL,1,1
Facebook Messenger,PERSON,1,1
307,CARDINAL,1,1
77%,PERCENT,3,3
23%,PERCENT,2,2
PPE,ORG,1,1
Alam et al,PERSON,1,1
"Attention, Generative Adversarial Networks",LAW,1,1
Odyssean,NORP,1,1
Kafka,PERSON,4,1
“The Silence of the Sirens”,WORK_OF_ART,1,1
Walter Benjamin,PERSON,2,1
one century,DATE,1,1
Benjamin,PERSON,1,1
SCP Foundation,ORG,1,1
the SCP Foundation,ORG,1,1
Media and Information Literacy,ORG,3,2
